_BINARY_OP_ADD_FLOAT,_SWAP
_LOAD_CONST_INLINE_BORROW,_EXIT_TRACE
_CHECK_VALIDITY_AND_SET_IP,_POP_FRAME
_COPY,_SET_IP
_ITER_NEXT_LIST,_STORE_FAST
_SET_IP,_STORE_SLICE
_STORE_SLICE,_CHECK_VALIDITY
_BINARY_OP_ADD_INT,_STORE_FAST
_SET_IP,_BINARY_OP_MULTIPLY_INT
_BINARY_OP_ADD_INT,_LOAD_CONST_INLINE_BORROW
_BUILD_LIST,_LOAD_FAST_0
_GUARD_IS_TRUE_POP,_CHECK_FUNCTION
_SET_IP,_BUILD_SLICE
_BUILD_SLICE,_SET_IP
_GUARD_IS_FALSE_POP,_LOAD_FAST_2
_LOAD_FAST_3,_CHECK_FUNCTION
_CHECK_VALIDITY,_LOAD_FAST_3
_TO_BOOL,_CHECK_VALIDITY
_BINARY_OP,_CHECK_VALIDITY_AND_SET_IP
_BINARY_OP_SUBTRACT_INT,_SET_IP
_BINARY_OP_MULTIPLY_FLOAT,_BINARY_OP_ADD_FLOAT
_CHECK_VALIDITY,_LOAD_FAST_4
_CHECK_VALIDITY,_PUSH_NULL
_BINARY_SUBSCR_DICT,_CHECK_VALIDITY
_SET_IP,_LIST_EXTEND
_CHECK_VALIDITY_AND_SET_IP,_CALL_INTRINSIC_1
_CALL_INTRINSIC_1,_CHECK_VALIDITY
_LIST_EXTEND,_CHECK_VALIDITY_AND_SET_IP
_SET_IP,_GET_ANEXT
_GET_ANEXT,_CHECK_VALIDITY
_BINARY_OP_ADD_INT,_STORE_FAST_4
_STORE_FAST_4,_LOAD_FAST_1
_SET_IP,_CALL_LEN
_STORE_FAST_6,_STORE_FAST_7
_SET_IP,_GET_ITER
_CHECK_VALIDITY_AND_SET_IP,_BINARY_OP
_STORE_SUBSCR_DICT,_CHECK_VALIDITY
_SET_IP,_STORE_SUBSCR_DICT
_CHECK_PERIODIC,_CHECK_VALIDITY_AND_SET_IP
_LOAD_CONST_INLINE_BORROW,_COPY
_CHECK_VALIDITY,_STORE_FAST_7
_GUARD_IS_FALSE_POP,_LOAD_CONST_INLINE_BORROW
_GUARD_IS_FALSE_POP,_LOAD_FAST_5
_LOAD_ATTR_INSTANCE_VALUE_0,_GUARD_BOTH_FLOAT
_LOAD_ATTR_INSTANCE_VALUE_0,_GUARD_BOTH_INT
_CALL_LEN,_CHECK_VALIDITY
_STORE_FAST,_LOAD_FAST_4
_GET_ITER,_CHECK_VALIDITY
_STORE_FAST_7,_LOAD_FAST_3
_ITER_NEXT_LIST,_STORE_FAST_5
_GUARD_IS_FALSE_POP,_EXIT_TRACE
_STORE_FAST_7,_STORE_FAST
_SET_IP,_TO_BOOL
_TO_BOOL_NONE,_POP_TOP
_POP_TOP,_LOAD_FAST_0
_BINARY_SUBSCR_LIST_INT,_LOAD_FAST
_LOAD_FAST_0,_LOAD_FAST
_LOAD_ATTR_INSTANCE_VALUE_0,_LOAD_FAST_0
_POP_FRAME,_CHECK_VALIDITY_AND_SET_IP
_LOAD_FAST_4,_LOAD_FAST
_LOAD_FAST_3,_TO_BOOL_NONE
_LOAD_CONST_INLINE_BORROW,_LOAD_FAST_2
_LOAD_FAST_2,_GUARD_TYPE_VERSION
_BINARY_OP_SUBTRACT_FLOAT,_STORE_FAST
_LOAD_FAST_2,_LOAD_FAST_7
_GUARD_TYPE_VERSION,_GUARD_DORV_VALUES
_POP_TOP,_LOAD_FAST_7
_STORE_FAST,_SET_IP
_ITER_NEXT_TUPLE,_STORE_FAST
_GUARD_DORV_VALUES,_STORE_ATTR_INSTANCE_VALUE
_LOAD_ATTR_SLOT_0,_TO_BOOL_BOOL
_LOAD_FAST_7,_LOAD_FAST_2
_LOAD_FAST_2,_LOAD_CONST_INLINE_BORROW
_SET_IP,_BINARY_SLICE
_BUILD_LIST,_STORE_FAST
_LOAD_FAST_5,_CHECK_FUNCTION
_LOAD_FAST_4,_GUARD_BOTH_INT
_STORE_FAST,_LOAD_FAST_7
_LOAD_FAST_7,_LOAD_FAST
_LIST_APPEND,_JUMP_TO_TOP
_LOAD_FAST_3,_LOAD_FAST_5
_CHECK_VALIDITY,_SWAP
_LOAD_FAST,_PUSH_NULL
_BUILD_TUPLE,_SET_IP
_LOAD_FAST,_COPY
